Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
969428,Mrs.,Suzy,J,Burge,F,suzy.burge@comcast.net,Stewart Burge,Wynell Burge,Pinzon,10/18/1985,08:44:02 AM,34.89,49,6/12/2014,Q2,H1,2014,6,June,Jun,12,Thursday,Thu,6.22,92436,20%,314-35-3163,236-574-3368,Fredericksburg,Fredericksburg (city),Fredericksburg,VA,22404,South,sjburge,2VwG|uPi^Og
138734,Ms.,Valerie,N,Burge,F,valerie.burge@aol.com,Forrest Burge,Aisha Burge,Cifuentes,9/6/1961,02:42:27 AM,59.02,46,10/8/1999,Q4,H2,1999,10,October,Oct,8,Friday,Fri,20.91,161154,14%,463-99-1025,262-854-3446,Hillsdale,Barron,Hillsdale,WI,54744,Midwest,vnburge,8Uq51V0EawfEd
780502,Mr.,Isidro,F,Estepp,M,isidro.estepp@yahoo.com,Carlo Estepp,Lavette Estepp,Scoles,7/17/1973,09:07:32 PM,47.16,86,11/13/1998,Q4,H2,1998,11,November,Nov,13,Friday,Fri,21.81,61945,24%,203-84-9994,231-493-0917,Detroit,Wayne,Detroit,MI,48227,Midwest,ifestepp,3XYF%@>r*J
350588,Prof.,Chuck,E,Mcafee,M,chuck.mcafee@earthlink.net,Sanford Mcafee,Gudrun Mcafee,Leon,1/14/1977,12:11:54 PM,43.66,83,4/29/2016,Q2,H1,2016,4,April,Apr,29,Friday,Fri,4.34,108741,2%,654-38-9571,210-207-8608,Waco,McLennan,Waco,TX,76795,South,cemcafee,j]T%OCkF
431942,Prof.,Jacques,Z,Chick,M,jacques.chick@yahoo.com,Andrea Chick,Pattie Chick,Peed,2/22/1995,01:42:40 AM,25.54,85,1/22/2020,Q1,H1,2020,1,January,Jan,22,Wednesday,Wed,0.61,190846,0%,594-99-0410,215-352-8069,New Hope,Bucks,New Hope,PA,18938,Northeast,jzchick,L0uAK1fRi}]Qn
201931,Mr.,Florencio,F,Varnell,M,florencio.varnell@gmail.com,Adan Varnell,Chi Varnell,Bowman,6/21/1979,11:46:41 AM,41.22,81,3/21/2008,Q1,H1,2008,3,March,Mar,21,Friday,Fri,12.45,67060,22%,161-86-4814,225-628-7223,Folsom,St. Tammany,Folsom,LA,70437,South,ffvarnell,q@fl;^Kz
127586,Mr.,Delmer,R,Tillman,M,delmer.tillman@gmail.com,Nick Tillman,Petronila Tillman,Fried,4/9/1965,11:59:38 AM,55.43,53,7/22/2004,Q3,H2,2004,7,July,Jul,22,Thursday,Thu,16.12,100827,10%,178-86-1176,217-314-0532,Galva,Henry,Galva,IL,61434,Midwest,drtillman,jrIT\HENf#2^u.}
365976,Prof.,Carrol,I,Tinker,M,carrol.tinker@microsoft.com,Reid Tinker,Ofelia Tinker,Putney,6/12/1985,12:58:11 AM,35.24,74,9/17/2016,Q3,H2,2016,9,September,Sep,17,Saturday,Sat,3.96,122292,27%,656-36-3918,215-525-1641,Ruffs Dale,Westmoreland,Ruffs Dale,PA,15679,Northeast,citinker,o^0g>zpE
215856,Prof.,Shayne,W,Shaffer,M,shayne.shaffer@yahoo.com,Jean Shaffer,Marisa Shaffer,Schendel,2/1/1998,02:36:33 AM,22.59,78,3/3/2020,Q1,H1,2020,3,March,Mar,3,Tuesday,Tue,0.5,119606,24%,084-02-3015,316-496-8544,Topeka,Shawnee,Topeka,KS,66675,Midwest,swshaffer,BY;-FV-fl$
693286,Mr.,Don,U,Thorne,M,don.thorne@gmail.com,Hugo Thorne,Mara Thorne,Weidler,12/12/1974,07:39:17 PM,45.75,62,4/15/2000,Q2,H1,2000,4,April,Apr,15,Saturday,Sat,20.39,92536,9%,671-48-9641,216-786-1239,Minford,Scioto,Minford,OH,45653,Midwest,duthorne,nH|2Fw%O3
235334,Hon.,Fae,V,Jeppesen,F,fae.jeppesen@yahoo.com,Walker Jeppesen,Lena Jeppesen,Hazelton,3/1/1996,04:10:29 PM,24.52,56,9/2/2017,Q3,H2,2017,9,September,Sep,2,Saturday,Sat,3,149128,5%,610-87-7014,401-315-1878,Foster,Providence,Foster,RI,2825,Northeast,fvjeppesen,bDvjrWXNMt
852843,Ms.,Octavia,P,Poitra,F,octavia.poitra@yahoo.com,Margarito Poitra,Jodie Poitra,Mcmillian,6/7/1972,08:09:39 PM,48.27,44,10/29/2011,Q4,H2,2011,10,October,Oct,29,Saturday,Sat,8.85,123209,24%,531-71-7996,252-420-7429,Barnesville,Robeson,Barnesville,NC,28319,South,oppoitra,Gm#S%!I2AZOT
991582,Mrs.,Nelia,D,Saul,F,nelia.saul@gmail.com,Brant Saul,Marsha Saul,Crum,9/12/1989,11:57:52 AM,30.99,59,8/31/2019,Q3,H2,2019,8,August,Aug,31,Saturday,Sat,1,199394,27%,671-48-3523,316-239-4833,Dennis,Labette,Dennis,KS,67341,Midwest,ndsaul,FBJ<b~*&sGBJ
768236,Ms.,Na,X,Minnick,F,na.minnick@gmail.com,Christian Minnick,Angelyn Minnick,Daigneault,9/15/1981,11:19:47 AM,38.99,45,1/1/2016,Q1,H1,2016,1,January,Jan,1,Friday,Fri,4.67,125558,25%,041-15-8402,210-317-8655,Lancaster,Dallas,Lancaster,TX,75134,South,nxminnick,oa>HBV\]J}%B>4
137438,Mrs.,Breann,Q,Alonso,F,breann.alonso@walmart.com,Lonny Alonso,Maia Alonso,Madrid,10/11/1978,12:28:04 PM,41.92,53,12/4/2004,Q4,H2,2004,12,December,Dec,4,Saturday,Sat,15.75,72913,16%,580-41-3570,316-541-1245,Hanover,Washington,Hanover,KS,66945,Midwest,bqalonso,8Mn-R_|fMd/
987894,Mr.,Thaddeus,U,Noggle,M,thaddeus.noggle@gmail.com,Ramiro Noggle,Waneta Noggle,Ivy,6/14/1969,01:32:48 PM,51.25,76,1/9/2013,Q1,H1,2013,1,January,Jan,9,Wednesday,Wed,7.65,163300,3%,355-08-6343,229-793-5389,Morven,Brooks,Morven,GA,31638,South,tunoggle,gVtLP}JTVc
395675,Mrs.,Jimmie,X,Pillar,F,jimmie.pillar@rediffmail.com,Marcus Pillar,Melaine Pillar,Mrozek,4/10/1980,08:15:47 PM,40.42,57,3/30/2005,Q1,H1,2005,3,March,Mar,30,Wednesday,Wed,15.43,44786,30%,724-28-2759,205-940-9474,Fort Davis,Macon,Fort Davis,AL,36031,South,jxpillar,A&*4S^Y^b.|I!O:
683779,Mrs.,Shandi,U,Perrigo,F,shandi.perrigo@walmart.com,Darron Perrigo,Jimmy Perrigo,Hinnant,6/25/1975,12:35:08 AM,45.22,44,3/24/2007,Q1,H1,2007,3,March,Mar,24,Saturday,Sat,13.45,92387,13%,175-86-8524,505-438-5137,Tatum,Lea,Tatum,NM,88267,West,superrigo,Og;JBvv%;u&e#M
896235,Mr.,Houston,Q,Langston,M,houston.langston@gmail.com,Francesco Langston,Tonda Langston,Caver,7/23/1967,08:09:37 PM,53.15,69,12/6/1992,Q4,H2,1992,12,December,Dec,6,Sunday,Sun,27.75,103402,3%,563-99-7683,209-263-7420,Lewiston,Trinity,Lewiston,CA,96052,West,hqlangston,DY^$%p|im]Q\T
973005,Mr.,Lucius,E,Dengler,M,lucius.dengler@ibm.com,Marcos Dengler,Mariel Dengler,Salvaggio,10/31/1998,07:49:30 PM,21.85,52,6/5/2020,Q2,H1,2020,6,June,Jun,5,Friday,Fri,0.24,158901,16%,640-29-0527,217-471-7434,Naperville,DuPage,Naperville,IL,60567,Midwest,ledengler,5O*x/rO%
989170,Mrs.,Theresia,A,Guerrette,F,theresia.guerrette@charter.net,Dante Guerrette,Pattie Guerrette,Navarra,11/5/1975,07:56:41 PM,44.85,58,2/22/2012,Q1,H1,2012,2,February,Feb,22,Wednesday,Wed,8.53,156772,20%,363-39-4828,212-682-7508,Clarkson,Monroe,Clarkson,NY,14430,Northeast,taguerrette,47AiLu01-
145698,Drs.,Claire,F,Deaton,F,claire.deaton@earthlink.net,Irvin Deaton,Suzanne Deaton,Lively,8/5/1971,04:16:18 AM,49.11,60,9/12/2009,Q3,H2,2009,9,September,Sep,12,Saturday,Sat,10.98,140064,26%,019-94-6965,229-786-8848,Sharpsburg,Coweta,Sharpsburg,GA,30277,South,cfdeaton,dwtY+g&r06z:uMt
783264,Mr.,Gustavo,L,Yedinak,M,gustavo.yedinak@gmail.com,Brad Yedinak,Asia Yedinak,Dudgeon,6/16/1983,08:10:34 AM,37.24,68,11/14/2015,Q4,H2,2015,11,November,Nov,14,Saturday,Sat,4.8,129474,21%,166-86-1978,205-476-1696,Mobile,Mobile,Mobile,AL,36611,South,glyedinak,HgcH:D.?Oj_t
493560,Drs.,Ina,P,Becerra,F,ina.becerra@yahoo.com,Dana Becerra,Terisa Becerra,Zellmer,4/26/1976,06:20:41 PM,44.38,59,9/29/2010,Q3,H2,2010,9,September,Sep,29,Wednesday,Wed,9.93,93382,12%,090-02-4144,210-306-7978,Mobeetie,Wheeler,Mobeetie,TX,79061,South,ipbecerra,L~yT-jJ^%{
660359,Dr.,Rashad,G,Tipton,M,rashad.tipton@comcast.net,Leonel Tipton,Clarisa Tipton,Corr,9/2/1997,05:33:39 PM,23.01,86,10/21/2018,Q4,H2,2018,10,October,Oct,21,Sunday,Sun,1.86,195242,13%,772-02-2120,217-973-6472,North Henderson,Mercer,North Henderson,IL,61466,Midwest,rgtipton,1T-YwTUdkQsN#F
433562,Mr.,Milford,B,Stegman,M,milford.stegman@gmail.com,Randolph Stegman,Ginette Stegman,Crosslin,6/26/1966,03:31:19 PM,54.22,74,10/10/1987,Q4,H2,1987,10,October,Oct,10,Saturday,Sat,32.92,58910,27%,105-02-5213,479-927-0455,Cash,Craighead,Cash,AR,72421,South,mbstegman,2{zkB._ii3[CU
459819,Mr.,Louis,R,Ison,M,louis.ison@gmail.com,Phillip Ison,Alex Ison,Guyette,6/12/1994,07:18:40 PM,26.24,88,3/23/2020,Q1,H1,2020,3,March,Mar,23,Monday,Mon,0.44,150160,2%,384-37-9854,225-703-7858,Livingston,Livingston,Livingston,LA,70754,South,lrison,Fo?Af7gC9*
954562,Ms.,Ula,F,Quintero,F,ula.quintero@gmail.com,Hunter Quintero,Vertie Quintero,Navarre,6/5/1964,02:02:31 PM,56.28,58,7/29/1985,Q3,H2,1985,7,July,Jul,29,Monday,Mon,35.12,99643,6%,122-98-7825,405-275-3936,Tulsa,Tulsa,Tulsa,OK,74112,South,ufquintero,Qu7/Z%58T8/&!i|
138681,Hon.,Joellen,X,Briceno,F,joellen.briceno@gmail.com,Wiley Briceno,Chanda Briceno,Grandison,10/17/1984,07:08:12 AM,35.9,56,2/5/2016,Q1,H1,2016,2,February,Feb,5,Friday,Fri,4.57,171496,6%,277-17-0302,303-446-6406,Crowley,Crowley,Crowley,CO,81033,West,jxbriceno,dn&tm-#_Z
525724,Mr.,Wilber,T,Rodrigez,M,wilber.rodrigez@gmail.com,Lamar Rodrigez,Matha Rodrigez,Tengan,3/6/1996,07:26:19 PM,24.5,65,6/18/2018,Q2,H1,2018,6,June,Jun,18,Monday,Mon,2.21,185031,27%,276-17-4290,236-350-3117,Lignum,Culpeper,Lignum,VA,22726,South,wtrodrigez,HX0UF}]ECn
379732,Mr.,Nick,W,Rosado,M,nick.rosado@microsoft.com,Andrea Rosado,Latricia Rosado,Hobbs,12/23/1973,07:51:17 AM,46.72,74,1/10/2003,Q1,H1,2003,1,January,Jan,10,Friday,Fri,17.65,127151,1%,589-99-0501,212-387-2199,New York City,New York,New York City,NY,10265,Northeast,nwrosado,cpe!CA~*7~NM
827854,Mrs.,Breana,C,Loughran,F,breana.loughran@gmail.com,Shad Loughran,Cordia Loughran,Harville,1/21/1997,05:40:33 PM,23.62,59,5/26/2020,Q2,H1,2020,5,May,May,26,Tuesday,Tue,0.27,102617,15%,333-11-4232,262-480-4721,Dale,Outagamie,Dale,WI,54931,Midwest,bcloughran,u&$Nf/GDHGvS9f
953052,Prof.,Rich,K,Mei,M,rich.mei@gmail.com,Shawn Mei,Jerri Mei,Masi,6/8/1969,01:57:18 AM,51.27,86,2/4/2006,Q1,H1,2006,2,February,Feb,4,Saturday,Sat,14.58,80739,4%,605-87-3324,209-360-9849,Encinitas,San Diego,Encinitas,CA,92024,West,rkmei,ZeE>$79vuj
